trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.5, 'e': 0.9933947843142158}",20,0,-16.84751900258702,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.9932795409475959}",30,0,-172.15895848144797,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.9931633043015177}",30,0,-225.32085829614667,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
119,False,"{'a': 0.5, 'e': 0.993046074492218}",30,0,-185.2598625448132,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.9929278516369265}",20,0,-86.56239890965405,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,0,-118.67170824866396,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.9926884272622528}",25,0,-288.3081607298823,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 5}",0
123,False,"{'a': 0.5, 'e': 0.9925672259822949}",25,0,-157.23348442559958,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.9924450321351935}",30,0,-161.81688790241452,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.9923218458431429}",20,0,-123.16201455083124,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.992197667229329}",25,0,-235.10163590734936,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
127,False,"{'a': 0.5, 'e': 0.9920724964179307}",20,0,-102.3763957304329,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9919463335341185}",25,0,-87.21107281582682,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.9918191787040556}",20,0,-108.0997658497672,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.9916910320548965}",25,0,-113.99934228762582,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-74.29519797182036,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.9914317638128685}",30,0,-69.82379312481348,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.9913006424792677}",20,0,-61.330369565297694,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9911685298451072}",30,0,-193.01536287198266,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.9910354260424993}",20,0,-85.2294553763269,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.9909013312045479}",20,0,-75.72972625239316,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.990766245465348}",20,0,-78.99665191931452,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.9906301689599851}",25,0,-139.7475662918241,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.9904931018245359}",30,0,-130.42263406016056,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.9903550441960673}",30,0,-169.73591702677552,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 4}",0
141,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-137.6671705048722,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.9900759580132933}",30,0,-158.56626611474195,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.9899349297380738}",20,0,-169.26992365085633,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
144,False,"{'a': 0.5, 'e': 0.9897929115280072}",20,0,-52.47041488202779,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.9896499035251115}",20,0,-11.847546994999247,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
